saleName="i守护定期寿险"	,	regName="i守护定期寿险"
saleName="i相伴重大疾病保障计划"	,	regName="真诚相伴两全保险;附加真诚相伴重大疾病保险"
saleName="长安稳赢4号"	,	regName="i理财二号两全保险（万能型）"
